county,name,cbsa,blkgrps,population,households,land_acres,ht_ami,ht_80ami,ht_nmi,h_ami,h_80ami,h_nmi,t_ami,t_80ami,t_nmi,co2_per_hh_local,co2_per_acre_local,autos_per_hh_ami,autos_per_hh_80ami,autos_per_hh_nmi,vmt_per_hh_ami,vmt_per_hh_80ami,vmt_per_hh_nmi,pct_transit_commuters_ami,pct_transit_commuters_80ami,pct_transit_commuters_nmi,t_cost_ami,t_cost_80ami,t_cost_nmi,auto_ownership_cost_ami,auto_ownership_cost_80ami,auto_ownership_cost_nmi,vmt_cost_ami,vmt_cost_80ami,vmt_cost_nmi,transit_cost_ami,transit_cost_80ami,transit_cost_nmi,transit_trips_ami,transit_trips_80ami,transit_trips_nmi,compact_ndx,emp_ovrll_ndx,res_density,gross_hh_density,hh_gravity,frac_sfd,emp_gravity,emp_ndx,block_size,intersection_density,avg_block_perimeter_meters,h_cost,median_smoc,median_gross_rent,pct_owner_occupied_hu,pct_renter_occupied_hu,registed_car,2020_car,2021_car,2022_car,2023_car,2024_car,2025_car
"""13199""","""Meriwether""","""Atlanta-Sandy Springs-Alpharetta, GA""",20.0,21106.0,8051.0,320782.45,41,50,44,17,21,18,24,29,26,9.33,0.82,2.13,2,2,25509,24927,24909,0,0,0,16457,15951,16119,12729,12309,12480,3720,3635,3632,7,7,7,9,9,9,1.0,1.3,0.22,0.03,2362,73,2234,86,200,5,3726,962,1085,601,74,26,17148.629999999997,17517.093806756755,17893.47460611815,18277.942506438798,18670.671271104176,19071.838397064388,19481.625195055367
"""13201""","""Miller""","""""",5.0,5787.0,2333.0,180750.34,59,72,45,25,31,18,34,41,27,10.68,0.24,2.0,2,2,25655,24890,27484,0,0,0,15106,14539,16847,11358,10904,12833,3743,3631,4008,5,5,5,6,6,7,0.6,0.6,0.32,0.01,1363,72,1191,87,349,3,4668,928,1074,631,71,29,4666.0,4766.255945945946,4868.66603991965,4973.2765669936,5080.134806743868,5189.2890546185,5300.788643765033
"""13205""","""Mitchell""","""""",17.0,22244.0,7982.0,327780.6,66,81,43,29,36,17,37,45,26,9.5,0.9,1.91,2,2,23545,22553,25659,0,0,0,14271,13649,16273,10831,10354,12526,3435,3290,3742,5,5,5,6,6,6,1.1,0.4,0.73,0.02,1600,63,1466,88,277,5,4261,914,1028,621,66,34,15245.619999999999,15573.194808108108,15907.808047903945,16249.610950554856,16598.757996654615,16955.406986042195,17319.719109120673
"""13207""","""Monroe""","""Macon-Bibb County, GA""",14.0,27171.0,9760.0,253207.4,70,86,52,36,45,25,34,41,27,10.47,0.61,2.05,2,2,24996,24280,26034,0,0,0,15263,14710,16749,11609,11161,12944,3646,3542,3797,8,7,8,10,9,10,1.2,1.4,0.33,0.04,2936,71,2989,86,227,8,4209,1315,1463,564,82,18,20008.0,20437.901621621622,20877.04031862674,21325.614563310744,21783.827092441345,22251.884998887042,22729.999825214483
"""13209""","""Montgomery""","""Vidalia, GA""",7.0,9058.0,3097.0,154332.65,65,80,45,29,36,18,37,44,26,10.27,0.25,1.99,2,2,24502,23527,25849,0,0,0,14883,14255,16562,11303,10818,12787,3574,3432,3770,5,5,5,7,6,7,2.0,0.4,0.36,0.02,1488,58,1325,87,181,6,3227,967,1080,686,75,25,6163.03,6295.451860810811,6430.719002144449,6568.892559082417,6710.034980284325,6854.210056212056,7001.482947960396
"""13211""","""Morgan""","""Atlanta-Sandy Springs-Alpharetta, GA""",9.0,18507.0,6942.0,222337.82,46,57,49,21,26,23,25,30,27,10.77,0.41,2.2,2,2,26348,25745,25763,0,0,0,17018,16529,16688,13168,12767,12923,3842,3754,3757,8,8,7,9,9,9,1.1,1.2,0.31,0.03,2949,80,3160,86,152,12,3111,1201,1361,805,76,24,15272.400000000001,15600.55021621622,15935.751227618704,16278.154531022943,16627.91487837871,16985.190346711443,17350.14240956646
"""13213""","""Murray""","""Dalton, GA""",26.0,39724.0,14385.0,220475.77,55,66,43,22,28,17,33,38,26,10.39,1.65,2.05,2,2,25300,24452,25452,0,0,0,15957,14784,16290,12260,11209,12571,3690,3567,3712,8,8,8,10,10,10,1.4,1.1,0.25,0.07,3371,60,3510,86,237,11,4348,908,1018,598,73,27,29489.249999999996,30122.87037162162,30770.105018795653,31431.246464469776,32106.593516882036,32796.45140460964,33501.1319145195
"""13215""","""Muscogee""","""Columbus, GA-AL""",125.0,195739.0,72759.0,138545.84,55,66,42,28,35,21,27,31,21,7.34,10.71,1.71,2,2,17841,17420,18371,1,1,1,12829,11849,13411,10202,9282,10708,2602,2541,2679,25,26,24,31,33,30,2.3,4.8,1.94,0.53,11138,66,12224,81,30,42,2259,1097,1147,932,56,44,124417.89,127091.19331216217,129821.9365198154,132611.35380449792,135460.70586597294,138371.2804920121,141344.39314042157
"""13217""","""Newton""","""Atlanta-Sandy Springs-Alpharetta, GA""",34.0,108079.0,37018.0,175232.22,45,55,48,21,26,23,24,29,25,9.67,4.92,2.11,2,2,23822,23265,23328,1,1,1,16132,15693,15834,12646,12288,12420,3474,3393,3402,12,12,12,15,15,15,1.2,2.6,0.62,0.21,7396,84,6608,84,90,16,2949,1202,1236,981,70,30,78107.98,79786.24605675676,81500.57215446276,83251.73309670054,85040.52033485938,86867.74232583812,88734.22489743384
"""13219""","""Oconee""","""Athens-Clarke County, GA""",14.0,38132.0,13423.0,117974.1,76,92,58,42,53,32,34,39,26,10.75,2.13,2.08,2,2,23615,23043,24538,1,1,1,15871,14764,16595,12416,11392,13004,3444,3362,3579,11,11,12,14,14,15,0.8,2.6,0.26,0.11,5115,87,6159,84,112,13,3227,1659,1773,1040,84,16,27919.84,28519.739264864867,29132.528257177506,29758.483931892537,30397.889194753472,31051.03303015426,31718.210631748116
