county,name,cbsa,blkgrps,population,households,land_acres,ht_ami,ht_80ami,ht_nmi,h_ami,h_80ami,h_nmi,t_ami,t_80ami,t_nmi,co2_per_hh_local,co2_per_acre_local,autos_per_hh_ami,autos_per_hh_80ami,autos_per_hh_nmi,vmt_per_hh_ami,vmt_per_hh_80ami,vmt_per_hh_nmi,pct_transit_commuters_ami,pct_transit_commuters_80ami,pct_transit_commuters_nmi,t_cost_ami,t_cost_80ami,t_cost_nmi,auto_ownership_cost_ami,auto_ownership_cost_80ami,auto_ownership_cost_nmi,vmt_cost_ami,vmt_cost_80ami,vmt_cost_nmi,transit_cost_ami,transit_cost_80ami,transit_cost_nmi,transit_trips_ami,transit_trips_80ami,transit_trips_nmi,compact_ndx,emp_ovrll_ndx,res_density,gross_hh_density,hh_gravity,frac_sfd,emp_gravity,emp_ndx,block_size,intersection_density,avg_block_perimeter_meters,h_cost,median_smoc,median_gross_rent,pct_owner_occupied_hu,pct_renter_occupied_hu
"""13147""","""Hart""","""""",19.00,25773.00,9853.00,148749.95,63,77,46,31,38,21,33,39,25,8.72,0.94,1.92,2,2,21473,20684,22818,0,0,0,14060,13476,15673,10920,10451,12338,3133,3017,3328,7,7,7,9,9,9,2.5,1.1,0.22,0.07,2785,67,2663,86,73,32,2391,1105,1246,566,79,21
"""13149""","""Heard""","""Atlanta-Sandy Springs-Alpharetta, GA""",8.00,11736.00,4502.00,189421.95,40,50,44,16,20,17,24,30,26,10.68,0.30,2.14,2,2,26871,26315,26274,0,0,0,16710,16228,16387,12783,12382,12548,3919,3838,3832,8,8,8,10,10,9,1.3,1.3,0.09,0.02,2429,59,2248,86,299,6,4448,913,1083,476,75,25
"""13151""","""Henry""","""Atlanta-Sandy Springs-Alpharetta, GA""",63.00,225356.00,75984.00,203961.52,48,59,51,24,30,26,24,29,25,10.02,5.48,2.12,2,2,23446,23024,23017,1,1,1,16078,15660,15790,12659,12302,12433,3419,3358,3357,0,0,0,0,0,0,1.6,3.2,1.12,0.37,9583,83,10142,83,77,24,2493,1380,1411,1236,72,28
"""13153""","""Houston""","""Warner Robins, GA""",74.00,153507.00,57056.00,240667.35,48,58,45,23,29,22,25,29,24,8.66,8.73,1.97,2,2,21070,20418,21194,1,1,1,14866,13829,14967,11781,10838,11864,3073,2979,3091,12,12,12,15,15,15,2.5,2.7,0.70,0.24,8147,73,6959,84,30,25,2548,1127,1171,911,67,33
"""13155""","""Irwin""","""""",8.00,9320.00,3329.00,226791.79,66,80,42,28,35,17,38,46,26,6.81,1.66,1.95,2,2,23007,21938,24400,0,0,0,14422,13795,16140,11060,10590,12577,3356,3200,3558,5,5,5,7,7,6,1.8,0.6,0.35,0.01,1530,68,1383,87,126,5,3099,872,995,529,78,22
"""13157""","""Jackson""","""Jefferson, GA""",29.00,67885.00,23166.00,217387.56,48,59,50,22,28,23,26,31,26,10.65,1.94,2.19,2,2,25515,24901,24702,1,1,0,16814,16339,16424,13082,12697,12812,3721,3631,3602,11,10,10,13,13,12,1.7,2.0,0.30,0.11,4548,76,5260,85,116,12,2914,1226,1341,748,80,20
"""13159""","""Jasper""","""Atlanta-Sandy Springs-Alpharetta, GA""",7.00,13916.00,5171.00,235779.59,43,53,46,18,22,19,25,31,27,10.14,0.31,2.22,2,2,26890,26338,26307,0,0,0,17215,16718,16876,13286,12869,13031,3921,3841,3836,8,8,8,10,10,10,0.8,1.4,0.21,0.02,2926,78,2536,86,202,5,3864,1002,1129,635,82,18
"""13161""","""Jeff Davis""","""""",11.00,15036.00,5279.00,211787.12,63,77,40,24,30,14,39,47,26,8.27,0.93,1.93,2,2,23216,22037,24653,0,0,0,14321,13646,16115,10929,10426,12514,3387,3215,3595,5,5,5,7,7,6,1.7,0.3,0.24,0.02,1657,60,1729,88,170,7,3943,737,863,451,72,28
"""13163""","""Jefferson""","""""",17.00,15618.00,5664.00,336992.06,67,82,40,27,33,14,41,49,25,7.50,0.86,1.86,2,2,22203,21057,24349,0,0,0,13811,13172,15914,10567,10095,12358,3239,3072,3551,5,5,5,6,6,6,1.8,0.5,0.29,0.02,1599,59,1568,87,182,5,3864,753,866,526,71,29
"""13165""","""Jenkins""","""""",8.00,8793.00,3443.00,222287.60,81,95,40,32,39,14,49,56,26,9.47,0.29,1.79,2,2,22775,21692,25786,0,0,0,13477,12267,16432,10149,9021,12666,3323,3241,3761,5,5,6,7,6,8,1.4,0.7,0.27,0.02,1493,62,1222,87,267,5,4316,720,777,416,80,20
